Time(s),Flow,Distance(m),Throughput(Mbps),PDR(%),Loss(%),Delay(ms),RSSI(dBm),TxPower(dBm),AI_Decision
3,AP1-STA1,5.00,5.066,98.69,1.31,3.140,-44.40,16.0,maintain
3,AP2-STA2,5.00,5.100,99.34,0.66,3.237,-44.40,16.0,decrease_power
4,AP1-STA1,5.00,5.134,100.00,0.00,3.136,-44.40,16.0,maintain
4,AP2-STA2,5.00,5.134,100.00,0.00,3.182,-46.40,14.0,decrease_power
5,AP1-STA1,5.00,5.142,100.00,0.00,3.132,-44.40,16.0,maintain
5,AP2-STA2,5.00,5.142,100.00,0.00,3.185,-48.40,12.0,decrease_power
6,AP1-STA1,5.00,5.134,100.00,0.00,3.133,-44.40,16.0,maintain
6,AP2-STA2,5.83,5.134,100.00,0.00,3.184,-51.73,10.0,maintain
7,AP1-STA1,5.00,5.134,100.00,0.00,3.138,-44.40,16.0,maintain
7,AP2-STA2,7.81,5.134,100.00,0.00,3.179,-54.27,10.0,maintain
8,AP1-STA1,5.00,5.142,100.00,0.00,3.143,-44.40,16.0,maintain
8,AP2-STA2,10.30,5.142,100.00,0.00,3.174,-56.67,10.0,maintain
9,AP1-STA1,5.00,5.134,100.00,0.00,3.147,-44.40,16.0,maintain
9,AP2-STA2,13.00,5.134,100.00,0.00,3.169,-58.70,10.0,maintain
10,AP1-STA1,5.00,5.134,100.00,0.00,3.152,-44.40,16.0,maintain
10,AP2-STA2,15.81,5.134,100.00,0.00,3.163,-60.40,10.0,increase_power
11,AP1-STA1,5.00,5.142,100.00,0.00,3.156,-44.40,16.0,maintain
11,AP2-STA2,15.81,5.142,100.00,0.00,3.159,-58.40,12.0,increase_power
12,AP1-STA1,5.00,5.134,100.00,0.00,3.154,-44.40,16.0,maintain
12,AP2-STA2,15.81,5.134,100.00,0.00,3.161,-56.40,14.0,increase_power
13,AP1-STA1,5.00,5.134,100.00,0.00,3.154,-44.40,16.0,maintain
13,AP2-STA2,15.81,5.134,100.00,0.00,3.162,-54.40,16.0,increase_power
14,AP1-STA1,5.00,5.142,100.00,0.00,3.154,-44.40,16.0,maintain
14,AP2-STA2,15.81,5.142,100.00,0.00,3.162,-52.40,18.0,increase_power
15,AP1-STA1,5.00,5.134,100.00,0.00,3.154,-44.40,16.0,maintain
15,AP2-STA2,15.81,5.134,100.00,0.00,3.161,-50.40,20.0,increase_power
16,AP1-STA1,5.00,5.142,100.16,-0.16,3.153,-44.40,16.0,maintain
16,AP2-STA2,13.93,5.134,100.00,0.00,3.162,-49.30,20.0,maintain
17,AP1-STA1,5.00,5.134,99.84,0.16,3.151,-44.40,16.0,maintain
17,AP2-STA2,12.08,5.142,100.00,0.00,3.165,-48.06,20.0,maintain
18,AP1-STA1,5.00,5.134,100.00,0.00,3.146,-44.40,16.0,maintain
18,AP2-STA2,10.30,5.134,100.00,0.00,3.170,-46.67,20.0,maintain
19,AP1-STA1,5.00,5.142,100.16,-0.16,3.145,-44.40,16.0,maintain
19,AP2-STA2,8.60,5.142,100.16,-0.16,3.171,-45.11,20.0,maintain
20,AP1-STA1,5.00,5.134,99.84,0.16,3.139,-44.40,16.0,maintain
20,AP2-STA2,7.07,5.134,99.84,0.16,3.177,-43.41,20.0,maintain
